timestamp,extensionName,eventType,url,tabTitle,context,clipboardText,screenX,screenY,keyboardCommand,selectedText,domPath,version,context.elementType,context.elementId,context.url,context.elementName,context.inputType,context.elementValue,context.className,context.checked,context.x,context.y,context.width,context.height,context.extractions
2024-03-25 09:30:01,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/,Dashboard :: Inventar,,,1135,773,,,,1.0.1,DIV|main,,,,,,row,False,230.0,341.0,1289.0,471.0,[]
2024-03-25 09:33:24,chrome,Element changed,https://vc11-wi.fit.fraunhofer.de/,Dashboard :: Inventar,,,0,0,,,,1.0.1,INPUT|textbox,tagSearch,,assetTag|Lookup by Asset Tag,text,l5,form-control,False,859.0,95.0,184.0,34.0,[]
2024-03-25 09:33:24,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/,Dashboard :: Inventar,,,0,0,,,,1.0.1,BUTTON|button,,,Search,,,btn btn-primary pull-right,False,1058.0,8.0,39.0,33.0,[]
2024-03-25 09:33:28,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/10229,View Asset L5 :: Inventar,,,1284,575,,,,1.0.1,A|link,,https://vc11-wi.fit.fraunhofer.de/hardware/10229/clone,Clone Asset,,,btn btn-sm btn-primary hidden-print,False,1116.0,555.0,363.0,29.0,[]
2024-03-25 09:33:30,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/10229/clone,Create Asset :: Inventar,,,760,383,,,,1.0.1,INPUT|textbox,asset_tag,,asset_tags[1]|Asset Tag,text,F07551,form-control,False,679.0,370.0,454.0,34.0,[]
2024-03-25 09:33:30,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/10229/clone,Create Asset :: Inventar,,,760,383,,,,1.0.1,INPUT|textbox,asset_tag,,asset_tags[1]|Asset Tag,text,F07551,form-control,False,679.0,370.0,454.0,34.0,[]
2024-03-25 09:33:30,chrome,Left double click,https://vc11-wi.fit.fraunhofer.de/hardware/10229/clone,Create Asset :: Inventar,,,760,383,,,,1.0.1,INPUT|textbox,asset_tag,,asset_tags[1]|Asset Tag,text,F07551,form-control,False,679.0,370.0,454.0,34.0,[]
2024-03-25 09:33:30,chrome,Text selected,https://vc11-wi.fit.fraunhofer.de/hardware/10229/clone,Create Asset :: Inventar,,,0,0,,F07551,,1.0.1,INPUT|textbox,asset_tag,,asset_tags[1]|Asset Tag,text,F07551,form-control,False,679.0,370.0,454.0,34.0,[]
2024-03-25 09:33:32,chrome,Element changed,https://vc11-wi.fit.fraunhofer.de/hardware/10229/clone,Create Asset :: Inventar,,,0,0,,,,1.0.1,INPUT|textbox,asset_tag,,asset_tags[1]|Asset Tag,text,L6,form-control,False,679.0,370.0,454.0,34.0,[]
2024-03-25 09:33:32,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/10229/clone,Create Asset :: Inventar,,,597,463,,,,1.0.1,DIV|generic,,,,,,,False,469.0,291.0,809.0,1038.0,[]
