timestamp,extensionName,eventType,url,tabTitle,context,clipboardText,screenX,screenY,keyboardCommand,selectedText,domPath,version,context.elementType,context.elementId,context.url,context.elementName,context.inputType,context.elementValue,context.className,context.checked,context.x,context.y,context.width,context.height,context.extractions
2024-03-25 09:07:38,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/accessories,Accessories :: Inventar,,,57,242,,,,1.0.1,A|link,,https://vc11-wi.fit.fraunhofer.de/hardware,List All,,,,False,6.0,225.0,223.0,30.0,[]
2024-03-25 09:07:49,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware,All Assets :: Inventar,,,78,618,,,,1.0.1,SPAN|generic,,#,,,,,False,35.0,607.0,49.0,18.0,[]
2024-03-25 09:07:53,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware,All Assets :: Inventar,,,81,285,,,,1.0.1,A|link,,https://vc11-wi.fit.fraunhofer.de/models,Asset Models,,,,False,6.0,267.0,223.0,30.0,[]
2024-03-25 09:07:57,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/models,View Models :: Inventar,,,975,112,,,,1.0.1,INPUT|textbox,tagSearch,,assetTag|Lookup by Asset Tag,text,,form-control,False,859.0,95.0,184.0,34.0,[]
2024-03-25 09:07:57,chrome,Element changed,https://vc11-wi.fit.fraunhofer.de/models,View Models :: Inventar,,,0,0,,,,1.0.1,INPUT|textbox,tagSearch,,assetTag|Lookup by Asset Tag,text,l1,form-control,False,859.0,95.0,184.0,34.0,[]
2024-03-25 09:07:57,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/models,View Models :: Inventar,,,0,0,,,,1.0.1,BUTTON|button,,,Search,,,btn btn-primary pull-right,False,1058.0,8.0,39.0,33.0,[]
2024-03-25 09:08:03,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/6030,View Asset L1 :: Inventar,,,1349,496,,,,1.0.1,A|link,,https://vc11-wi.fit.fraunhofer.de/hardware/6030/clone,Clone Asset,,,btn btn-sm btn-primary hidden-print,False,1116.0,485.0,363.0,29.0,[]
2024-03-25 09:08:06,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/6030/clone,Create Asset :: Inventar,,,773,373,,,,1.0.1,INPUT|textbox,asset_tag,,asset_tags[1]|Asset Tag,text,F07550,form-control,False,679.0,370.0,454.0,34.0,[]
2024-03-25 09:08:06,chrome,Left click,https://vc11-wi.fit.fraunhofer.de/hardware/6030/clone,Create Asset :: Inventar,,,773,373,,,,1.0.1,INPUT|textbox,asset_tag,,asset_tags[1]|Asset Tag,text,F07550,form-control,False,679.0,370.0,454.0,34.0,[]
2024-03-25 09:08:06,chrome,Left double click,https://vc11-wi.fit.fraunhofer.de/hardware/6030/clone,Create Asset :: Inventar,,,773,373,,,,1.0.1,INPUT|textbox,asset_tag,,asset_tags[1]|Asset Tag,text,F07550,form-control,False,679.0,370.0,454.0,34.0,[]
