timestamp,resource,activity,region,walking_speed,step,handling_height
2024-03-25 11:08:28+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:28+01:00,C9,Handling,Warehouse Area,0.0,False,8.0
2024-03-25 11:08:28+01:00,C3,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:29+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:29+01:00,C9,Handling,Warehouse Area,0.0,False,8.0
2024-03-25 11:08:29+01:00,C3,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:30+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:30+01:00,C9,Handling,Warehouse Area,0.0,False,8.0
2024-03-25 11:08:30+01:00,C3,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:31+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:31+01:00,C9,Handling,Warehouse Area,0.0,False,7.0
2024-03-25 11:08:31+01:00,C3,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:32+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:32+01:00,C9,Handling,Warehouse Area,0.0,False,7.0
2024-03-25 11:08:32+01:00,C3,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:33+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:33+01:00,C9,Handling,Warehouse Area,0.0,False,7.0
2024-03-25 11:08:33+01:00,C3,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:34+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:34+01:00,C9,Handling,Warehouse Area,0.0,False,7.0
2024-03-25 11:08:34+01:00,C3,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:35+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:35+01:00,C9,Handling,Warehouse Area,0.0,False,7.0
2024-03-25 11:08:35+01:00,C3,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:36+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:36+01:00,C9,Handling,Warehouse Area,0.0,False,7.0
2024-03-25 11:08:36+01:00,C3,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:37+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:37+01:00,C9,Handling,Warehouse Area,0.0,False,6.5
2024-03-25 11:08:37+01:00,C3,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:38+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:38+01:00,C9,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:38+01:00,C3,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:39+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:39+01:00,C9,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:39+01:00,C3,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:40+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:40+01:00,C9,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:40+01:00,C3,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:41+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:41+01:00,C9,Handling,Warehouse Area,0.0,False,8.0
2024-03-25 11:08:41+01:00,C3,Walk,Warehouse Area,0.7924528301886792,False,6.0
2024-03-25 11:08:42+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:42+01:00,C9,Handling,Warehouse Area,0.0,False,8.0
2024-03-25 11:08:42+01:00,C3,Walk,Warehouse Area,0.7924528301886792,False,6.0
2024-03-25 11:08:43+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:43+01:00,C9,Handling,Warehouse Area,0.0,False,8.0
2024-03-25 11:08:43+01:00,C3,Walk,Warehouse Area,0.7924528301886792,False,6.0
2024-03-25 11:08:44+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:44+01:00,C9,Handling,Warehouse Area,0.0,False,8.0
2024-03-25 11:08:44+01:00,C3,Walk,Warehouse Area,0.7924528301886792,False,6.0
2024-03-25 11:08:45+01:00,A2,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:45+01:00,C9,Handling,Waiting Area,0.0,False,8.0
2024-03-25 11:08:45+01:00,C3,Walk,Warehouse Area,0.7924528301886792,False,6.0
2024-03-25 11:08:46+01:00,A2,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:46+01:00,C9,Handling,Waiting Area,0.0,False,8.0
2024-03-25 11:08:46+01:00,C3,Walk,Waiting Area,0.7924528301886792,False,6.0
2024-03-25 11:08:47+01:00,A2,Stand,Issue Area,0.0,False,6.0
2024-03-25 11:08:47+01:00,C9,Handling,Waiting Area,0.0,False,8.0
2024-03-25 11:08:47+01:00,C3,Walk,Waiting Area,0.7924528301886792,False,6.0
2024-03-25 11:08:48+01:00,A2,Stand,Issue Area,0.0,False,6.0
2024-03-25 11:08:48+01:00,C9,Handling,Waiting Area,0.0,False,8.0
2024-03-25 11:08:48+01:00,C3,Walk,Waiting Area,0.7924528301886792,False,6.0
2024-03-25 11:08:49+01:00,A2,Stand,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:49+01:00,C9,Handling,Waiting Area,0.0,False,8.0
2024-03-25 11:08:49+01:00,C3,Walk,Waiting Area,0.7924528301886792,False,6.0
2024-03-25 11:08:50+01:00,A2,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:50+01:00,C9,Handling,Waiting Area,0.0,False,8.0
2024-03-25 11:08:50+01:00,C3,Walk,Waiting Area,0.7924528301886792,False,6.0
2024-03-25 11:08:51+01:00,A2,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:51+01:00,C9,Handling,Waiting Area,0.0,False,8.0
2024-03-25 11:08:51+01:00,C3,Handling,Waiting Area,0.3962264150943396,False,7.0
2024-03-25 11:08:52+01:00,A2,Handling,Warehouse Area,0.0,False,9.0
2024-03-25 11:08:52+01:00,C9,Handling,Waiting Area,0.0,False,8.0
2024-03-25 11:08:52+01:00,C3,Walk,Waiting Area,0.0,False,6.0
2024-03-25 11:08:53+01:00,A2,Handling,Warehouse Area,0.0,False,7.0
2024-03-25 11:08:53+01:00,C9,Handling,Waiting Area,0.0,False,7.0
2024-03-25 11:08:53+01:00,C3,Walk,Waiting Area,0.0,False,6.0
2024-03-25 11:08:54+01:00,A2,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:54+01:00,C9,Stand,Waiting Area,0.0,False,6.0
2024-03-25 11:08:54+01:00,C3,Walk,Waiting Area,0.0,False,6.0
2024-03-25 11:08:55+01:00,A2,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:55+01:00,C9,Stand,Waiting Area,0.0,False,6.0
2024-03-25 11:08:55+01:00,C3,Walk,Waiting Area,0.0,False,6.0
2024-03-25 11:08:56+01:00,A2,Walk,Warehouse Area,0.0,False,6.0
2024-03-25 11:08:56+01:00,C9,Stand,Waiting Area,0.0,False,6.0
